PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 1.3761 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,13105947,0,0,PrediCache,16,10000000,rndread,64,0,0
1,13784720,0,0,PrediCache,16,10000000,rndread,64,0,0
2,13769773,0,0,PrediCache,16,10000000,rndread,64,0,0
3,13966856,0,0,PrediCache,16,10000000,rndread,64,0,0
4,14225894,0,0,PrediCache,16,10000000,rndread,64,0,0
5,14651096,0,0,PrediCache,16,10000000,rndread,64,0,0
6,14575555,0,0,PrediCache,16,10000000,rndread,64,0,0
7,14691701,0,0,PrediCache,16,10000000,rndread,64,0,0
8,14607299,0,0,PrediCache,16,10000000,rndread,64,0,0
9,14609029,0,0,PrediCache,16,10000000,rndread,64,0,0
10,14655879,0,0,PrediCache,16,10000000,rndread,64,0,0
11,14706538,0,0,PrediCache,16,10000000,rndread,64,0,0
12,14663984,0,0,PrediCache,16,10000000,rndread,64,0,0
13,14608725,0,0,PrediCache,16,10000000,rndread,64,0,0
14,14873020,0,0,PrediCache,16,10000000,rndread,64,0,0
15,14803677,0,0,PrediCache,16,10000000,rndread,64,0,0
16,15092935,0,0,PrediCache,16,10000000,rndread,64,0,0
17,15136997,0,0,PrediCache,16,10000000,rndread,64,0,0
18,14980128,0,0,PrediCache,16,10000000,rndread,64,0,0
19,14647874,0,0,PrediCache,16,10000000,rndread,64,0,0
20,14829412,0,0,PrediCache,16,10000000,rndread,64,0,0
21,15122530,0,0,PrediCache,16,10000000,rndread,64,0,0
22,14997105,0,0,PrediCache,16,10000000,rndread,64,0,0
23,14979679,0,0,PrediCache,16,10000000,rndread,64,0,0
24,14948567,0,0,PrediCache,16,10000000,rndread,64,0,0
space: 1.3761 GB 
cbp_class,log_chance
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
