PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 1.376 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,14270598,0,0,PrediCache,16,10000000,rndread,64,0,0
1,15159138,0,0,PrediCache,16,10000000,rndread,64,0,0
2,15283495,0,0,PrediCache,16,10000000,rndread,64,0,0
3,15843150,0,0,PrediCache,16,10000000,rndread,64,0,0
4,15706560,0,0,PrediCache,16,10000000,rndread,64,0,0
5,15332078,0,0,PrediCache,16,10000000,rndread,64,0,0
6,12770698,0,0,PrediCache,16,10000000,rndread,64,0,0
7,12895913,0,0,PrediCache,16,10000000,rndread,64,0,0
8,13850509,0,0,PrediCache,16,10000000,rndread,64,0,0
9,15907909,0,0,PrediCache,16,10000000,rndread,64,0,0
10,16050248,0,0,PrediCache,16,10000000,rndread,64,0,0
11,15978148,0,0,PrediCache,16,10000000,rndread,64,0,0
12,15935750,0,0,PrediCache,16,10000000,rndread,64,0,0
13,15868968,0,0,PrediCache,16,10000000,rndread,64,0,0
14,15953082,0,0,PrediCache,16,10000000,rndread,64,0,0
15,16036156,0,0,PrediCache,16,10000000,rndread,64,0,0
16,15995557,0,0,PrediCache,16,10000000,rndread,64,0,0
17,16003047,0,0,PrediCache,16,10000000,rndread,64,0,0
18,15990071,0,0,PrediCache,16,10000000,rndread,64,0,0
19,15820567,0,0,PrediCache,16,10000000,rndread,64,0,0
20,15584141,0,0,PrediCache,16,10000000,rndread,64,0,0
21,15880715,0,0,PrediCache,16,10000000,rndread,64,0,0
22,16257840,0,0,PrediCache,16,10000000,rndread,64,0,0
23,16172950,0,0,PrediCache,16,10000000,rndread,64,0,0
24,15992822,0,0,PrediCache,16,10000000,rndread,64,0,0
space: 1.376 GB 
