PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846401 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,544519,0,0,PrediCache,16,8,tpcc,64,0,0
1,553702,0,0,PrediCache,16,8,tpcc,64,0,0
2,534064,0,0,PrediCache,16,8,tpcc,64,0,0
3,544123,0,0,PrediCache,16,8,tpcc,64,0,0
4,558493,0,0,PrediCache,16,8,tpcc,64,0,0
5,566564,0,0,PrediCache,16,8,tpcc,64,0,0
6,566078,0,0,PrediCache,16,8,tpcc,64,0,0
7,555804,0,0,PrediCache,16,8,tpcc,64,0,0
8,544052,0,0,PrediCache,16,8,tpcc,64,0,0
9,535682,0,0,PrediCache,16,8,tpcc,64,0,0
10,525297,0,0,PrediCache,16,8,tpcc,64,0,0
11,530948,0,0,PrediCache,16,8,tpcc,64,0,0
12,532071,0,0,PrediCache,16,8,tpcc,64,0,0
13,529479,0,0,PrediCache,16,8,tpcc,64,0,0
14,505611,0,0,PrediCache,16,8,tpcc,64,0,0
15,525596,0,0,PrediCache,16,8,tpcc,64,0,0
16,528183,0,0,PrediCache,16,8,tpcc,64,0,0
17,537856,0,0,PrediCache,16,8,tpcc,64,0,0
18,560969,0,0,PrediCache,16,8,tpcc,64,0,0
19,562335,0,0,PrediCache,16,8,tpcc,64,0,0
20,562354,0,0,PrediCache,16,8,tpcc,64,0,0
21,557554,0,0,PrediCache,16,8,tpcc,64,0,0
22,557044,0,0,PrediCache,16,8,tpcc,64,0,0
23,555371,0,0,PrediCache,16,8,tpcc,64,0,0
24,552974,0,0,PrediCache,16,8,tpcc,64,0,0
space: 7.95679 GB 
cbp_class,log_chance
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
