PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.7377 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,15031691,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,17310578,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,18240151,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,18592649,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,18248242,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,18101025,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,18118072,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,18922411,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,19148153,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,19156853,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,19357737,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,19279351,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,19328173,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,19607898,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,19674200,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,19774403,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,19491451,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,19446946,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,19489444,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,19405681,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,19401435,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,19701348,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,19760732,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,19749604,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,19890248,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.7377 GB 
cbp_class,log_chance
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
