PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.73769 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,23446852,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,25458757,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,25322641,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,25370212,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,24715971,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,24835492,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,25701620,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,25922430,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,26053126,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,25922498,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,25701607,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,25424387,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,26292514,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,26205130,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,25563463,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,25460226,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,24772094,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,23769333,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,24082631,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,25562664,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,25126722,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,26302431,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,26299397,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,25238181,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,25982178,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.73769 GB 
