PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 1.37619 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,14513634,0,0,PrediCache,16,10000000,rndread,64,0,0
1,15333769,0,0,PrediCache,16,10000000,rndread,64,0,0
2,15525292,0,0,PrediCache,16,10000000,rndread,64,0,0
3,15822720,0,0,PrediCache,16,10000000,rndread,64,0,0
4,15645674,0,0,PrediCache,16,10000000,rndread,64,0,0
5,15696377,0,0,PrediCache,16,10000000,rndread,64,0,0
6,16003023,0,0,PrediCache,16,10000000,rndread,64,0,0
7,15948671,0,0,PrediCache,16,10000000,rndread,64,0,0
8,16188337,0,0,PrediCache,16,10000000,rndread,64,0,0
9,16254199,0,0,PrediCache,16,10000000,rndread,64,0,0
10,16258829,0,0,PrediCache,16,10000000,rndread,64,0,0
11,16098230,0,0,PrediCache,16,10000000,rndread,64,0,0
12,16473250,0,0,PrediCache,16,10000000,rndread,64,0,0
13,16597736,0,0,PrediCache,16,10000000,rndread,64,0,0
14,16636298,0,0,PrediCache,16,10000000,rndread,64,0,0
15,16673085,0,0,PrediCache,16,10000000,rndread,64,0,0
16,16765624,0,0,PrediCache,16,10000000,rndread,64,0,0
17,16163975,0,0,PrediCache,16,10000000,rndread,64,0,0
18,15422232,0,0,PrediCache,16,10000000,rndread,64,0,0
19,16027245,0,0,PrediCache,16,10000000,rndread,64,0,0
20,16084730,0,0,PrediCache,16,10000000,rndread,64,0,0
21,16871532,0,0,PrediCache,16,10000000,rndread,64,0,0
22,17052055,0,0,PrediCache,16,10000000,rndread,64,0,0
23,17036421,0,0,PrediCache,16,10000000,rndread,64,0,0
24,17174685,0,0,PrediCache,16,10000000,rndread,64,0,0
space: 1.37619 GB 
