PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846596 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,626918,0,0,PrediCache,16,8,tpcc,64,0,0
1,655445,0,0,PrediCache,16,8,tpcc,64,0,0
2,652794,0,0,PrediCache,16,8,tpcc,64,0,0
3,650169,0,0,PrediCache,16,8,tpcc,64,0,0
4,647566,0,0,PrediCache,16,8,tpcc,64,0,0
5,651503,0,0,PrediCache,16,8,tpcc,64,0,0
6,647248,0,0,PrediCache,16,8,tpcc,64,0,0
7,639556,0,0,PrediCache,16,8,tpcc,64,0,0
8,639306,0,0,PrediCache,16,8,tpcc,64,0,0
9,648347,0,0,PrediCache,16,8,tpcc,64,0,0
10,651281,0,0,PrediCache,16,8,tpcc,64,0,0
11,608672,0,0,PrediCache,16,8,tpcc,64,0,0
12,546675,0,0,PrediCache,16,8,tpcc,64,0,0
13,560258,0,0,PrediCache,16,8,tpcc,64,0,0
14,580470,0,0,PrediCache,16,8,tpcc,64,0,0
15,567791,0,0,PrediCache,16,8,tpcc,64,0,0
16,603799,0,0,PrediCache,16,8,tpcc,64,0,0
17,621772,0,0,PrediCache,16,8,tpcc,64,0,0
18,633574,0,0,PrediCache,16,8,tpcc,64,0,0
19,578518,0,0,PrediCache,16,8,tpcc,64,0,0
20,553196,0,0,PrediCache,16,8,tpcc,64,0,0
21,592434,0,0,PrediCache,16,8,tpcc,64,0,0
22,632956,0,0,PrediCache,16,8,tpcc,64,0,0
23,635820,0,0,PrediCache,16,8,tpcc,64,0,0
24,631386,0,0,PrediCache,16,8,tpcc,64,0,0
25,632352,0,0,PrediCache,16,8,tpcc,64,0,0
26,629481,0,0,PrediCache,16,8,tpcc,64,0,0
27,630351,0,0,PrediCache,16,8,tpcc,64,0,0
28,607999,0,0,PrediCache,16,8,tpcc,64,0,0
29,626634,0,0,PrediCache,16,8,tpcc,64,0,0
space: 10.3733 GB 
