PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846611 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,667390,0,0,PrediCache,16,8,tpcc,64,0,0
1,685137,0,0,PrediCache,16,8,tpcc,64,0,0
2,678649,0,0,PrediCache,16,8,tpcc,64,0,0
3,682975,0,0,PrediCache,16,8,tpcc,64,0,0
4,678198,0,0,PrediCache,16,8,tpcc,64,0,0
5,675112,0,0,PrediCache,16,8,tpcc,64,0,0
6,682835,0,0,PrediCache,16,8,tpcc,64,0,0
7,671463,0,0,PrediCache,16,8,tpcc,64,0,0
8,686109,0,0,PrediCache,16,8,tpcc,64,0,0
9,679568,0,0,PrediCache,16,8,tpcc,64,0,0
10,670277,0,0,PrediCache,16,8,tpcc,64,0,0
11,660713,0,0,PrediCache,16,8,tpcc,64,0,0
12,663607,0,0,PrediCache,16,8,tpcc,64,0,0
13,657409,0,0,PrediCache,16,8,tpcc,64,0,0
14,645241,0,0,PrediCache,16,8,tpcc,64,0,0
15,637720,0,0,PrediCache,16,8,tpcc,64,0,0
16,641291,0,0,PrediCache,16,8,tpcc,64,0,0
17,644973,0,0,PrediCache,16,8,tpcc,64,0,0
18,651040,0,0,PrediCache,16,8,tpcc,64,0,0
19,559376,0,0,PrediCache,16,8,tpcc,64,0,0
20,548020,0,0,PrediCache,16,8,tpcc,64,0,0
21,598928,0,0,PrediCache,16,8,tpcc,64,0,0
22,646392,0,0,PrediCache,16,8,tpcc,64,0,0
23,591286,0,0,PrediCache,16,8,tpcc,64,0,0
24,608746,0,0,PrediCache,16,8,tpcc,64,0,0
25,593598,0,0,PrediCache,16,8,tpcc,64,0,0
26,611501,0,0,PrediCache,16,8,tpcc,64,0,0
27,637921,0,0,PrediCache,16,8,tpcc,64,0,0
28,641530,0,0,PrediCache,16,8,tpcc,64,0,0
29,629822,0,0,PrediCache,16,8,tpcc,64,0,0
space: 10.7303 GB 
