PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.73768 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,25200487,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,26306657,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,25992217,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,25893271,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,26135380,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,26230296,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,26301788,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,26259485,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,21077747,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,20759645,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,20773286,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,21324987,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,23098870,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,24322468,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,26345491,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,25976782,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,25642389,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,25703451,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,25149336,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,25128781,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,24035546,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,25624900,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,26344710,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,25943392,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,26225117,0,0,PrediCache,16,10000000,ycsb,64,0,0
25,26203931,0,0,PrediCache,16,10000000,ycsb,64,0,0
26,26170920,0,0,PrediCache,16,10000000,ycsb,64,0,0
27,26086898,0,0,PrediCache,16,10000000,ycsb,64,0,0
28,25828116,0,0,PrediCache,16,10000000,ycsb,64,0,0
29,25935810,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.73768 GB 
