PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.73771 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,24509095,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,25770476,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,25186411,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,25227435,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,25470531,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,25284250,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,25357240,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,25046952,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,25807148,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,25692934,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,25560088,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,25840890,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,22398601,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,22683202,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,23134353,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,22374034,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,22047164,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,25939199,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,25311482,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,25550881,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,25080247,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,25672845,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,25691586,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,25652555,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,25741300,0,0,PrediCache,16,10000000,ycsb,64,0,0
25,25759926,0,0,PrediCache,16,10000000,ycsb,64,0,0
26,26098781,0,0,PrediCache,16,10000000,ycsb,64,0,0
27,26063414,0,0,PrediCache,16,10000000,ycsb,64,0,0
28,25918665,0,0,PrediCache,16,10000000,ycsb,64,0,0
29,26066227,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.73771 GB 
