PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846382 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,556524,0,0,PrediCache,16,8,tpcc,64,0,0
1,556489,0,0,PrediCache,16,8,tpcc,64,0,0
2,551223,0,0,PrediCache,16,8,tpcc,64,0,0
3,553590,0,0,PrediCache,16,8,tpcc,64,0,0
4,560725,0,0,PrediCache,16,8,tpcc,64,0,0
5,553840,0,0,PrediCache,16,8,tpcc,64,0,0
6,562528,0,0,PrediCache,16,8,tpcc,64,0,0
7,567313,0,0,PrediCache,16,8,tpcc,64,0,0
8,610760,0,0,PrediCache,16,8,tpcc,64,0,0
9,676839,0,0,PrediCache,16,8,tpcc,64,0,0
10,603444,0,0,PrediCache,16,8,tpcc,64,0,0
11,672290,0,0,PrediCache,16,8,tpcc,64,0,0
12,673204,0,0,PrediCache,16,8,tpcc,64,0,0
13,644377,0,0,PrediCache,16,8,tpcc,64,0,0
14,661142,0,0,PrediCache,16,8,tpcc,64,0,0
15,646411,0,0,PrediCache,16,8,tpcc,64,0,0
16,664837,0,0,PrediCache,16,8,tpcc,64,0,0
17,657743,0,0,PrediCache,16,8,tpcc,64,0,0
18,657656,0,0,PrediCache,16,8,tpcc,64,0,0
19,658998,0,0,PrediCache,16,8,tpcc,64,0,0
20,657129,0,0,PrediCache,16,8,tpcc,64,0,0
21,655767,0,0,PrediCache,16,8,tpcc,64,0,0
22,653663,0,0,PrediCache,16,8,tpcc,64,0,0
23,651836,0,0,PrediCache,16,8,tpcc,64,0,0
24,649139,0,0,PrediCache,16,8,tpcc,64,0,0
25,650635,0,0,PrediCache,16,8,tpcc,64,0,0
26,646576,0,0,PrediCache,16,8,tpcc,64,0,0
27,646656,0,0,PrediCache,16,8,tpcc,64,0,0
28,642449,0,0,PrediCache,16,8,tpcc,64,0,0
29,637630,0,0,PrediCache,16,8,tpcc,64,0,0
space: 10.4458 GB 
