PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.847031 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,667580,0,0,PrediCache,16,8,tpcc,64,0,0
1,707360,0,0,PrediCache,16,8,tpcc,64,0,0
2,710873,0,0,PrediCache,16,8,tpcc,64,0,0
3,710269,0,0,PrediCache,16,8,tpcc,64,0,0
4,697437,0,0,PrediCache,16,8,tpcc,64,0,0
5,695722,0,0,PrediCache,16,8,tpcc,64,0,0
6,698480,0,0,PrediCache,16,8,tpcc,64,0,0
7,694460,0,0,PrediCache,16,8,tpcc,64,0,0
8,675528,0,0,PrediCache,16,8,tpcc,64,0,0
9,684204,0,0,PrediCache,16,8,tpcc,64,0,0
10,673577,0,0,PrediCache,16,8,tpcc,64,0,0
11,563217,0,0,PrediCache,16,8,tpcc,64,0,0
12,542337,0,0,PrediCache,16,8,tpcc,64,0,0
13,551107,0,0,PrediCache,16,8,tpcc,64,0,0
14,570699,0,0,PrediCache,16,8,tpcc,64,0,0
15,554923,0,0,PrediCache,16,8,tpcc,64,0,0
16,559037,0,0,PrediCache,16,8,tpcc,64,0,0
17,585554,0,0,PrediCache,16,8,tpcc,64,0,0
18,658377,0,0,PrediCache,16,8,tpcc,64,0,0
19,649870,0,0,PrediCache,16,8,tpcc,64,0,0
20,650799,0,0,PrediCache,16,8,tpcc,64,0,0
21,625600,0,0,PrediCache,16,8,tpcc,64,0,0
22,633309,0,0,PrediCache,16,8,tpcc,64,0,0
23,626096,0,0,PrediCache,16,8,tpcc,64,0,0
24,631817,0,0,PrediCache,16,8,tpcc,64,0,0
25,634626,0,0,PrediCache,16,8,tpcc,64,0,0
26,630003,0,0,PrediCache,16,8,tpcc,64,0,0
27,620044,0,0,PrediCache,16,8,tpcc,64,0,0
28,631564,0,0,PrediCache,16,8,tpcc,64,0,0
29,620586,0,0,PrediCache,16,8,tpcc,64,0,0
space: 10.6373 GB 
