PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 1.37567 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,13466009,0,0,PrediCache,16,10000000,rndread,64,0,0
1,12849412,0,0,PrediCache,16,10000000,rndread,64,0,0
2,12598753,0,0,PrediCache,16,10000000,rndread,64,0,0
3,13123766,0,0,PrediCache,16,10000000,rndread,64,0,0
4,13376767,0,0,PrediCache,16,10000000,rndread,64,0,0
5,13324324,0,0,PrediCache,16,10000000,rndread,64,0,0
6,13256664,0,0,PrediCache,16,10000000,rndread,64,0,0
7,13114686,0,0,PrediCache,16,10000000,rndread,64,0,0
8,14897245,0,0,PrediCache,16,10000000,rndread,64,0,0
9,15614747,0,0,PrediCache,16,10000000,rndread,64,0,0
10,15736512,0,0,PrediCache,16,10000000,rndread,64,0,0
11,15458748,0,0,PrediCache,16,10000000,rndread,64,0,0
12,14517889,0,0,PrediCache,16,10000000,rndread,64,0,0
13,15527879,0,0,PrediCache,16,10000000,rndread,64,0,0
14,15904183,0,0,PrediCache,16,10000000,rndread,64,0,0
15,15794435,0,0,PrediCache,16,10000000,rndread,64,0,0
16,15731951,0,0,PrediCache,16,10000000,rndread,64,0,0
17,15414233,0,0,PrediCache,16,10000000,rndread,64,0,0
18,15545547,0,0,PrediCache,16,10000000,rndread,64,0,0
19,15942594,0,0,PrediCache,16,10000000,rndread,64,0,0
20,15474806,0,0,PrediCache,16,10000000,rndread,64,0,0
21,15982344,0,0,PrediCache,16,10000000,rndread,64,0,0
22,15846192,0,0,PrediCache,16,10000000,rndread,64,0,0
23,16001932,0,0,PrediCache,16,10000000,rndread,64,0,0
24,15973203,0,0,PrediCache,16,10000000,rndread,64,0,0
25,15981369,0,0,PrediCache,16,10000000,rndread,64,0,0
26,15807614,0,0,PrediCache,16,10000000,rndread,64,0,0
27,15543736,0,0,PrediCache,16,10000000,rndread,64,0,0
28,16111695,0,0,PrediCache,16,10000000,rndread,64,0,0
29,16080618,0,0,PrediCache,16,10000000,rndread,64,0,0
space: 1.37567 GB 
