PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.73768 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,19598814,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,20695285,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,20475299,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,20955070,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,20812247,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,21532539,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,21746999,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,23357681,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,26678976,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,26176289,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,25792133,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,26938518,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,26351540,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,27511633,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,27445723,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,27351181,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,27172022,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,27421749,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,27246647,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,26790636,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,26106675,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,27289299,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,27691995,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,27407455,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,26773287,0,0,PrediCache,16,10000000,ycsb,64,0,0
25,27525837,0,0,PrediCache,16,10000000,ycsb,64,0,0
26,27488555,0,0,PrediCache,16,10000000,ycsb,64,0,0
27,27379760,0,0,PrediCache,16,10000000,ycsb,64,0,0
28,27447404,0,0,PrediCache,16,10000000,ycsb,64,0,0
29,27363296,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.73768 GB 
