PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.73771 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,24828379,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,26305398,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,24982759,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,25442166,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,25483691,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,26161330,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,26663048,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,26063085,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,25896861,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,26264662,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,25632876,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,25893379,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,25666186,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,24726488,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,26457149,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,26487191,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,24900101,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,24025116,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,23725795,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,23553656,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,24929162,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,26186982,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,26254235,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,26074671,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,26675522,0,0,PrediCache,16,10000000,ycsb,64,0,0
25,26697323,0,0,PrediCache,16,10000000,ycsb,64,0,0
26,26625185,0,0,PrediCache,16,10000000,ycsb,64,0,0
27,26283373,0,0,PrediCache,16,10000000,ycsb,64,0,0
28,25903436,0,0,PrediCache,16,10000000,ycsb,64,0,0
29,26620918,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.73771 GB 
