PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 2.73772 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,26302781,0,0,PrediCache,16,10000000,ycsb,64,0,0
1,25696068,0,0,PrediCache,16,10000000,ycsb,64,0,0
2,21580555,0,0,PrediCache,16,10000000,ycsb,64,0,0
3,21416773,0,0,PrediCache,16,10000000,ycsb,64,0,0
4,21544623,0,0,PrediCache,16,10000000,ycsb,64,0,0
5,21526383,0,0,PrediCache,16,10000000,ycsb,64,0,0
6,22111464,0,0,PrediCache,16,10000000,ycsb,64,0,0
7,22077350,0,0,PrediCache,16,10000000,ycsb,64,0,0
8,25674999,0,0,PrediCache,16,10000000,ycsb,64,0,0
9,26340119,0,0,PrediCache,16,10000000,ycsb,64,0,0
10,26503030,0,0,PrediCache,16,10000000,ycsb,64,0,0
11,26938026,0,0,PrediCache,16,10000000,ycsb,64,0,0
12,26549785,0,0,PrediCache,16,10000000,ycsb,64,0,0
13,26646518,0,0,PrediCache,16,10000000,ycsb,64,0,0
14,26898766,0,0,PrediCache,16,10000000,ycsb,64,0,0
15,26682089,0,0,PrediCache,16,10000000,ycsb,64,0,0
16,26292210,0,0,PrediCache,16,10000000,ycsb,64,0,0
17,26135683,0,0,PrediCache,16,10000000,ycsb,64,0,0
18,26734579,0,0,PrediCache,16,10000000,ycsb,64,0,0
19,26357944,0,0,PrediCache,16,10000000,ycsb,64,0,0
20,24683520,0,0,PrediCache,16,10000000,ycsb,64,0,0
21,25926739,0,0,PrediCache,16,10000000,ycsb,64,0,0
22,26763098,0,0,PrediCache,16,10000000,ycsb,64,0,0
23,26853135,0,0,PrediCache,16,10000000,ycsb,64,0,0
24,26624095,0,0,PrediCache,16,10000000,ycsb,64,0,0
25,26516530,0,0,PrediCache,16,10000000,ycsb,64,0,0
26,26723168,0,0,PrediCache,16,10000000,ycsb,64,0,0
27,26494347,0,0,PrediCache,16,10000000,ycsb,64,0,0
28,26712572,0,0,PrediCache,16,10000000,ycsb,64,0,0
29,26837159,0,0,PrediCache,16,10000000,ycsb,64,0,0
space: 2.73772 GB 
