PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846542 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,568101,0,0,PrediCache,16,8,tpcc,64,0,0
1,554459,0,0,PrediCache,16,8,tpcc,64,0,0
2,562148,0,0,PrediCache,16,8,tpcc,64,0,0
3,575523,0,0,PrediCache,16,8,tpcc,64,0,0
4,702700,0,0,PrediCache,16,8,tpcc,64,0,0
5,706119,0,0,PrediCache,16,8,tpcc,64,0,0
6,705521,0,0,PrediCache,16,8,tpcc,64,0,0
7,698416,0,0,PrediCache,16,8,tpcc,64,0,0
8,690125,0,0,PrediCache,16,8,tpcc,64,0,0
9,700853,0,0,PrediCache,16,8,tpcc,64,0,0
10,700307,0,0,PrediCache,16,8,tpcc,64,0,0
11,690252,0,0,PrediCache,16,8,tpcc,64,0,0
12,680004,0,0,PrediCache,16,8,tpcc,64,0,0
13,669540,0,0,PrediCache,16,8,tpcc,64,0,0
14,671784,0,0,PrediCache,16,8,tpcc,64,0,0
15,669374,0,0,PrediCache,16,8,tpcc,64,0,0
16,677923,0,0,PrediCache,16,8,tpcc,64,0,0
17,662002,0,0,PrediCache,16,8,tpcc,64,0,0
18,662381,0,0,PrediCache,16,8,tpcc,64,0,0
19,668417,0,0,PrediCache,16,8,tpcc,64,0,0
20,655477,0,0,PrediCache,16,8,tpcc,64,0,0
21,658750,0,0,PrediCache,16,8,tpcc,64,0,0
22,655116,0,0,PrediCache,16,8,tpcc,64,0,0
23,661044,0,0,PrediCache,16,8,tpcc,64,0,0
24,653480,0,0,PrediCache,16,8,tpcc,64,0,0
25,655661,0,0,PrediCache,16,8,tpcc,64,0,0
26,659797,0,0,PrediCache,16,8,tpcc,64,0,0
27,654218,0,0,PrediCache,16,8,tpcc,64,0,0
28,650007,0,0,PrediCache,16,8,tpcc,64,0,0
29,639419,0,0,PrediCache,16,8,tpcc,64,0,0
space: 10.9294 GB 
