PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846901 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,680034,0,0,PrediCache,16,8,tpcc,64,0,0
1,718235,0,0,PrediCache,16,8,tpcc,64,0,0
2,709835,0,0,PrediCache,16,8,tpcc,64,0,0
3,710113,0,0,PrediCache,16,8,tpcc,64,0,0
4,709473,0,0,PrediCache,16,8,tpcc,64,0,0
5,708707,0,0,PrediCache,16,8,tpcc,64,0,0
6,705409,0,0,PrediCache,16,8,tpcc,64,0,0
7,702756,0,0,PrediCache,16,8,tpcc,64,0,0
8,693081,0,0,PrediCache,16,8,tpcc,64,0,0
9,686745,0,0,PrediCache,16,8,tpcc,64,0,0
10,688875,0,0,PrediCache,16,8,tpcc,64,0,0
11,671122,0,0,PrediCache,16,8,tpcc,64,0,0
12,672793,0,0,PrediCache,16,8,tpcc,64,0,0
13,670306,0,0,PrediCache,16,8,tpcc,64,0,0
14,670900,0,0,PrediCache,16,8,tpcc,64,0,0
15,637249,0,0,PrediCache,16,8,tpcc,64,0,0
16,656872,0,0,PrediCache,16,8,tpcc,64,0,0
17,669552,0,0,PrediCache,16,8,tpcc,64,0,0
18,667297,0,0,PrediCache,16,8,tpcc,64,0,0
19,657939,0,0,PrediCache,16,8,tpcc,64,0,0
20,656863,0,0,PrediCache,16,8,tpcc,64,0,0
21,654326,0,0,PrediCache,16,8,tpcc,64,0,0
22,650263,0,0,PrediCache,16,8,tpcc,64,0,0
23,594154,0,0,PrediCache,16,8,tpcc,64,0,0
24,490448,0,0,PrediCache,16,8,tpcc,64,0,0
25,500867,0,0,PrediCache,16,8,tpcc,64,0,0
26,497046,0,0,PrediCache,16,8,tpcc,64,0,0
27,584230,0,0,PrediCache,16,8,tpcc,64,0,0
28,638768,0,0,PrediCache,16,8,tpcc,64,0,0
29,641461,0,0,PrediCache,16,8,tpcc,64,0,0
space: 10.8409 GB 
