PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.847179 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,688967,0,0,PrediCache,16,8,tpcc,64,0,0
1,722437,0,0,PrediCache,16,8,tpcc,64,0,0
2,716405,0,0,PrediCache,16,8,tpcc,64,0,0
3,707211,0,0,PrediCache,16,8,tpcc,64,0,0
4,704606,0,0,PrediCache,16,8,tpcc,64,0,0
5,703305,0,0,PrediCache,16,8,tpcc,64,0,0
6,704351,0,0,PrediCache,16,8,tpcc,64,0,0
7,686435,0,0,PrediCache,16,8,tpcc,64,0,0
8,696428,0,0,PrediCache,16,8,tpcc,64,0,0
9,688992,0,0,PrediCache,16,8,tpcc,64,0,0
10,659837,0,0,PrediCache,16,8,tpcc,64,0,0
11,669314,0,0,PrediCache,16,8,tpcc,64,0,0
12,671791,0,0,PrediCache,16,8,tpcc,64,0,0
13,660623,0,0,PrediCache,16,8,tpcc,64,0,0
14,660926,0,0,PrediCache,16,8,tpcc,64,0,0
15,651637,0,0,PrediCache,16,8,tpcc,64,0,0
16,668672,0,0,PrediCache,16,8,tpcc,64,0,0
17,669154,0,0,PrediCache,16,8,tpcc,64,0,0
18,665575,0,0,PrediCache,16,8,tpcc,64,0,0
19,669651,0,0,PrediCache,16,8,tpcc,64,0,0
20,666896,0,0,PrediCache,16,8,tpcc,64,0,0
21,664250,0,0,PrediCache,16,8,tpcc,64,0,0
22,665669,0,0,PrediCache,16,8,tpcc,64,0,0
23,665527,0,0,PrediCache,16,8,tpcc,64,0,0
24,646852,0,0,PrediCache,16,8,tpcc,64,0,0
25,663157,0,0,PrediCache,16,8,tpcc,64,0,0
26,659517,0,0,PrediCache,16,8,tpcc,64,0,0
27,629687,0,0,PrediCache,16,8,tpcc,64,0,0
28,595478,0,0,PrediCache,16,8,tpcc,64,0,0
29,628560,0,0,PrediCache,16,8,tpcc,64,0,0
space: 11.106 GB 
