PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 16GB
space: 0.846973 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,687497,0,0,PrediCache,16,8,tpcc,64,0,0
1,720998,0,0,PrediCache,16,8,tpcc,64,0,0
2,713806,0,0,PrediCache,16,8,tpcc,64,0,0
3,716403,0,0,PrediCache,16,8,tpcc,64,0,0
4,707540,0,0,PrediCache,16,8,tpcc,64,0,0
5,702553,0,0,PrediCache,16,8,tpcc,64,0,0
6,699327,0,0,PrediCache,16,8,tpcc,64,0,0
7,697925,0,0,PrediCache,16,8,tpcc,64,0,0
8,696476,0,0,PrediCache,16,8,tpcc,64,0,0
9,696373,0,0,PrediCache,16,8,tpcc,64,0,0
10,696435,0,0,PrediCache,16,8,tpcc,64,0,0
11,662448,0,0,PrediCache,16,8,tpcc,64,0,0
12,670840,0,0,PrediCache,16,8,tpcc,64,0,0
13,677365,0,0,PrediCache,16,8,tpcc,64,0,0
14,674469,0,0,PrediCache,16,8,tpcc,64,0,0
15,649424,0,0,PrediCache,16,8,tpcc,64,0,0
16,668120,0,0,PrediCache,16,8,tpcc,64,0,0
17,674875,0,0,PrediCache,16,8,tpcc,64,0,0
18,666930,0,0,PrediCache,16,8,tpcc,64,0,0
19,663318,0,0,PrediCache,16,8,tpcc,64,0,0
20,657217,0,0,PrediCache,16,8,tpcc,64,0,0
21,581478,0,0,PrediCache,16,8,tpcc,64,0,0
22,548294,0,0,PrediCache,16,8,tpcc,64,0,0
23,563729,0,0,PrediCache,16,8,tpcc,64,0,0
24,621242,0,0,PrediCache,16,8,tpcc,64,0,0
25,655186,0,0,PrediCache,16,8,tpcc,64,0,0
26,656053,0,0,PrediCache,16,8,tpcc,64,0,0
27,653345,0,0,PrediCache,16,8,tpcc,64,0,0
28,652716,0,0,PrediCache,16,8,tpcc,64,0,0
29,650216,0,0,PrediCache,16,8,tpcc,64,0,0
space: 11.0297 GB 
