PrediCache blk:/lustre/s_zun212/TPC-C/predi_test.bm buffer-pool-size: 8GB
space: 1.37611 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,writeCount,readCount
0,15167758,0,0,PrediCache,16,10000000,rndread,64,0,0
1,15163387,0,0,PrediCache,16,10000000,rndread,64,0,0
2,13185238,0,0,PrediCache,16,10000000,rndread,64,0,0
3,13279897,0,0,PrediCache,16,10000000,rndread,64,0,0
4,13102162,0,0,PrediCache,16,10000000,rndread,64,0,0
5,15349630,0,0,PrediCache,16,10000000,rndread,64,0,0
6,15755883,0,0,PrediCache,16,10000000,rndread,64,0,0
7,15505414,0,0,PrediCache,16,10000000,rndread,64,0,0
8,15635746,0,0,PrediCache,16,10000000,rndread,64,0,0
9,15553198,0,0,PrediCache,16,10000000,rndread,64,0,0
10,15478578,0,0,PrediCache,16,10000000,rndread,64,0,0
11,15830516,0,0,PrediCache,16,10000000,rndread,64,0,0
12,15229264,0,0,PrediCache,16,10000000,rndread,64,0,0
13,14334723,0,0,PrediCache,16,10000000,rndread,64,0,0
14,15413524,0,0,PrediCache,16,10000000,rndread,64,0,0
15,15404512,0,0,PrediCache,16,10000000,rndread,64,0,0
16,15524631,0,0,PrediCache,16,10000000,rndread,64,0,0
17,15468801,0,0,PrediCache,16,10000000,rndread,64,0,0
18,15740442,0,0,PrediCache,16,10000000,rndread,64,0,0
19,15229091,0,0,PrediCache,16,10000000,rndread,64,0,0
20,14984095,0,0,PrediCache,16,10000000,rndread,64,0,0
21,15627296,0,0,PrediCache,16,10000000,rndread,64,0,0
22,15356798,0,0,PrediCache,16,10000000,rndread,64,0,0
23,15272912,0,0,PrediCache,16,10000000,rndread,64,0,0
24,15613384,0,0,PrediCache,16,10000000,rndread,64,0,0
25,15829339,0,0,PrediCache,16,10000000,rndread,64,0,0
26,15630590,0,0,PrediCache,16,10000000,rndread,64,0,0
27,15614119,0,0,PrediCache,16,10000000,rndread,64,0,0
28,15417680,0,0,PrediCache,16,10000000,rndread,64,0,0
29,15518757,0,0,PrediCache,16,10000000,rndread,64,0,0
space: 1.37611 GB 
